Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Wind speed scalar / meter/second / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	1.7	1.7	1.8	1.6	1.6	1.5	1.5	1.3	1.3	1.3	1.4	1.7	1.5
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	2.0	2.2	2.6	2.7	2.4	2.3	2.2	2.0	1.9	1.8	1.9	1.9	2.2
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	1.8	2.0	2.2	2.2	2.2	2.2	2.1	1.9	1.8	1.7	1.8	1.9	2.0
Aigle	381	2560403 / 1130713	01.1991-12.2020	2.0	2.3	2.5	2.7	2.5	2.2	2.2	2.0	1.7	1.7	1.9	2.1	2.2
Altdorf	438	2690180 / 1193563	01.1991-12.2020	2.4	2.6	2.6	3.0	2.6	2.1	2.0	1.8	1.9	2.3	2.4	2.4	2.3
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	2.4	2.3	2.3	1.9	1.8	1.8	1.8	1.6	1.6	1.7	2.0	2.4	2.0
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	1.8	2.0	2.2	2.1	2.0	2.0	1.9	1.7	1.7	1.6	1.6	1.8	1.9
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	1.6	1.6	1.7	1.5	1.5	1.4	1.3	1.1	1.2	1.2	1.3	1.6	1.4
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	2.4	2.5	2.5	2.5	2.4	2.3	2.3	2.1	2.1	2.2	2.3	2.4	2.3
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	10.3	10.0	9.0	7.8	7.4	7.1	7.1	6.7	7.3	8.4	9.3	10.7	8.4
