Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Pressure at station level / hectopascal / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	955.6	954.4	953.3	951.3	953.0	954.3	954.6	954.8	954.9	954.4	953.3	955.1	954.1
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	951.0	949.5	948.3	946.7	948.2	949.0	949.2	949.6	950.0	950.3	949.1	950.7	949.3
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	866.8	865.7	865.6	864.6	867.4	869.7	870.6	870.7	869.7	868.1	865.7	866.6	867.6
Aigle	381	2560403 / 1130713	01.1991-12.2020	974.6	973.2	971.6	969.1	970.6	971.8	972.1	972.2	972.5	972.3	971.8	974.0	972.2
Altdorf	438	2690180 / 1193563	01.1991-12.2020	967.4	966.2	964.9	962.6	964.2	965.5	965.7	965.9	966.1	965.7	964.9	966.9	965.5
Arosa	1878	2771030 / 1184830	01.1991-12.2020	808.6	807.4	807.7	807.7	811.0	813.8	815.0	815.3	813.7	811.7	808.7	808.7	810.8
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	961.0	959.7	958.4	956.3	957.8	959.2	959.5	959.7	959.9	959.6	958.6	960.5	959.2
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	981.8	980.7	979.3	977.0	978.5	979.6	979.5	979.6	980.1	979.8	979.1	981.2	979.7
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	954.2	953.0	951.8	949.7	951.5	952.9	953.2	953.3	953.4	952.9	951.9	953.7	952.6
Beznau	326	2659813 / 1267696	01.1991-12.2020	981.1	979.8	978.2	975.9	977.3	978.4	978.5	978.7	979.2	979.0	978.4	980.4	978.7
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	973.9	972.6	971.2	968.9	970.4	971.5	971.7	971.9	972.3	972.1	971.3	973.3	971.8
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	879.8	878.7	878.5	877.4	880.0	882.3	883.0	883.1	882.2	880.7	878.6	879.5	880.3
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	837.3	836.3	836.6	836.2	839.3	841.9	843.0	843.1	841.6	839.6	836.8	837.2	839.1
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	887.3	886.4	886.1	885.0	887.4	889.6	890.3	890.5	889.7	888.2	886.1	887.0	887.8
Chur	557	2759488 / 1193181	01.1991-12.2020	954.1	952.8	951.4	949.3	950.8	952.2	952.5	952.8	953.0	952.7	951.7	953.6	952.2
