Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Summer days (maximum 25 degrees C or higher) / number / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	0.0	0.0	0.0	0.4	3.3	9.7	14.2	12.5	3.0	0.0	0.0	0.0	43.1
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	0.0	0.0	0.0	0.4	3.4	12.6	20.2	16.4	2.9	0.3	0.0	0.0	56.2
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	2.0	3.4	2.7	0.0	0.0	0.0	0.0	8.2
Aigle	381	2560403 / 1130713	01.1991-12.2020	0.0	0.0	0.0	0.2	2.9	11.1	17.8	15.2	2.5	0.1	0.0	0.0	49.8
Altdorf	438	2690180 / 1193563	01.1991-12.2020	0.0	0.0	0.0	0.3	3.8	10.1	14.2	12.5	2.9	0.2	0.0	0.0	44.0
Arosa	1878	2771030 / 1184830	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.2	0.1	0.1	0.0	0.0	0.0	0.0	0.4
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	0.0	0.0	0.0	0.8	5.0	11.6	15.3	13.3	3.5	0.6	0.0	0.0	50.1
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	0.0	0.0	0.0	1.2	5.3	12.6	17.9	16.0	5.2	0.3	0.0	0.0	58.5
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	0.0	0.0	0.0	0.3	2.9	10.1	15.5	14.0	3.3	0.0	0.0	0.0	46.1
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	1.8	3.8	3.4	0.0	0.0	0.0	0.0	9.0
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	0.0	0.0	0.0	0.8	4.5	12.3	17.6	15.3	4.4	0.1	0.0	0.0	55.0
Buffalora	1971	2816494 / 1170254	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.3	0.4	0.5	0.0	0.0	0.0	0.0	1.2
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	1.0	2.0	1.6	0.0	0.0	0.0	0.0	4.6
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.1	0.4	0.2	0.0	0.0	0.0	0.0	0.7
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	1.8	3.4	2.9	0.0	0.0	0.0	0.0	8.2
Chur	557	2759488 / 1193181	01.1991-12.2020	0.0	0.0	0.0	1.0	5.6	12.5	16.9	15.0	4.7	0.7	0.0	0.0	56.4
Château-d'Oex	1028	2577040 / 1147654	01.1991-12.2020	0.0	0.0	0.0	0.0	0.8	5.8	9.0	8.3	0.7	0.0	0.0	0.0	24.6
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.1	0.3	0.4	0.0	0.0	0.0	0.0	0.8
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Davos	1594	2783519 / 1187458	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	1.0	2.5	2.2	0.0	0.0	0.0	0.0	5.7
Delémont	439	2593269 / 1244543	01.1991-12.2020	0.0	0.0	0.0	0.7	4.0	10.8	16.1	14.6	4.6	0.4	0.0	0.0	51.2
Disentis	1197	2708190 / 1173793	01.1991-12.2020	0.0	0.0	0.0	0.0	0.5	5.8	8.7	7.5	0.6	0.0	0.0	0.0	23.1
Ebnat-Kappel	623	2726347 / 1237176	01.1991-12.2020	0.0	0.0	0.0	0.1	2.8	8.4	12.3	11.1	2.1	0.1	0.0	0.0	36.9
Einsiedeln	911	2699983 / 1221068	01.1991-12.2020	0.0	0.0	0.0	0.0	0.5	4.0	5.9	5.3	0.3	0.0	0.0	0.0	16.0
Elm	958	2732265 / 1198424	01.1991-12.2020	0.0	0.0	0.0	0.0	1.2	5.0	6.6	5.4	0.1	0.0	0.0	0.0	18.3
Engelberg	1036	2674161 / 1186069	01.1991-12.2020	0.0	0.0	0.0	0.0	0.8	4.6	6.6	5.4	0.2	0.0	0.0	0.0	17.6
Evolène / Villa	1825	2605411 / 1106748	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.2	0.7	0.9	0.0	0.0	0.0	0.0	1.8
Fahy	596	2562464 / 1252675	01.1991-12.2020	0.0	0.0	0.0	0.1	1.6	6.7	12.1	11.1	2.3	0.2	0.0	0.0	34.1
Fribourg / Grangeneuve	651	2575183 / 1180076	01.1991-12.2020	0.0	0.0	0.0	0.0	2.1	8.0	13.7	12.6	2.6	0.0	0.0	0.0	39.0
Genève / Cointrin	411	2498904 / 1122631	01.1991-12.2020	0.0	0.0	0.0	0.8	4.5	13.7	20.7	18.4	5.5	0.2	0.0	0.0	63.8
Glarus	517	2723756 / 1210567	01.1991-12.2020	0.0	0.0	0.0	0.3	3.9	10.0	13.6	11.4	1.9	0.1	0.0	0.0	41.2
Grimsel Hospiz	1980	2668583 / 1158214	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grono	324	2733017 / 1124089	01.1991-12.2020	0.0	0.0	0.1	1.7	6.4	16.6	24.7	22.5	7.2	0.5	0.0	0.0	79.7
Grächen	1605	2630738 / 1116062	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	2.0	3.6	2.8	0.0	0.0	0.0	0.0	8.4
Gütsch, Andermatt	2286	2690087 / 1167480	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Güttingen	440	2738422 / 1273962	01.1991-12.2020	0.0	0.0	0.0	0.3	3.5	10.2	15.1	13.2	2.7	0.0	0.0	0.0	45.0
Hallau	419	2677456 / 1283471	01.1991-12.2020	0.0	0.0	0.0	0.6	4.0	10.7	15.9	14.2	4.1	0.1	0.0	0.0	49.6
Hörnli	1133	2713517 / 1247756	01.1991-12.2020	0.0	0.0	0.0	0.0	0.3	2.3	3.7	3.2	0.0	0.0	0.0	0.0	9.5
Interlaken	577	2633023 / 1169091	01.1991-12.2020	0.0	0.0	0.0	0.2	3.0	10.2	14.7	13.1	2.8	0.0	0.0	0.0	44.0
Jungfraujoch	3571	2641938 / 1155287	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Koppigen	485	2612663 / 1218664	01.1991-12.2020	0.0	0.0	0.0	0.4	3.1	11.1	16.7	14.6	3.8	0.0	0.0	0.0	49.7
La Brévine	1050	2536981 / 1203974	01.1991-12.2020	0.0	0.0	0.0	0.0	0.2	3.3	5.4	6.3	0.2	0.1	0.0	0.0	15.5
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1991-12.2020	0.0	0.0	0.0	0.0	0.4	3.6	5.9	6.3	0.3	0.0	0.0	0.0	16.5
La Dôle	1670	2497059 / 1142372	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.2	0.4	0.5	0.0	0.0	0.0	0.0	1.1
Langnau i.E.	744	2628004 / 1198793	01.1991-12.2020	0.0	0.0	0.0	0.0	1.9	7.3	11.4	10.7	1.4	0.0	0.0	0.0	32.7
Le Moléson	1974	2567718 / 1155076	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.1	0.0	0.0	0.0	0.0	0.3
Locarno / Monti	367	2704166 / 1114315	01.1991-12.2020	0.0	0.0	0.3	1.0	5.3	16.3	25.1	23.7	6.3	0.5	0.0	0.0	78.5
Lugano	273	2717874 / 1095882	01.1991-12.2020	0.0	0.0	0.2	0.4	4.2	15.6	25.1	23.3	5.6	0.4	0.0	0.0	74.8
Luzern	454	2665544 / 1209849	01.1991-12.2020	0.0	0.0	0.0	0.6	4.1	11.4	16.1	14.1	3.4	0.0	0.0	0.0	49.7
Lägern	845	2672251 / 1259459	01.1991-12.2020	0.0	0.0	0.0	0.0	0.4	3.3	5.4	5.4	0.2	0.0	0.0	0.0	14.7
Magadino / Cadenazzo	203	2715479 / 1113160	01.1991-12.2020	0.0	0.0	0.3	1.2	6.7	18.9	26.4	24.7	7.9	0.5	0.0	0.0	86.6
