Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Hot days (maximum 30 degrees C or higher) / number / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	1.4	3.1	2.8	0.0	0.0	0.0	0.0	7.4
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	1.7	3.0	2.5	0.1	0.0	0.0	0.0	7.4
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.1	0.1	0.0	0.0	0.0	0.0	0.0	0.2
Aigle	381	2560403 / 1130713	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	0.9	2.7	1.8	0.0	0.0	0.0	0.0	5.5
Altdorf	438	2690180 / 1193563	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	1.5	2.4	1.7	0.0	0.0	0.0	0.0	5.6
Arosa	1878	2771030 / 1184830	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	0.0	0.0	0.0	0.0	0.5	2.5	3.8	2.8	0.1	0.0	0.0	0.0	9.7
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	0.0	0.0	0.0	0.0	0.4	3.3	5.3	5.0	0.3	0.0	0.0	0.0	14.3
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	1.6	3.9	3.4	0.0	0.0	0.0	0.0	9.0
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	0.0	0.0	0.0	0.0	0.3	3.2	5.5	4.9	0.1	0.0	0.0	0.0	14.0
Buffalora	1971	2816494 / 1170254	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1
Chur	557	2759488 / 1193181	01.1991-12.2020	0.0	0.0	0.0	0.0	0.6	3.7	5.7	4.5	0.2	0.0	0.0	0.0	14.7
Château-d'Oex	1028	2577040 / 1147654	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.9	0.0	0.0	0.0	0.0	1.9
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Davos	1594	2783519 / 1187458	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Delémont	439	2593269 / 1244543	01.1991-12.2020	0.0	0.0	0.0	0.0	0.3	2.4	4.1	4.3	0.2	0.0	0.0	0.0	11.3
Disentis	1197	2708190 / 1173793	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.4	0.6	0.6	0.0	0.0	0.0	0.0	1.6
Ebnat-Kappel	623	2726347 / 1237176	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	1.2	1.9	1.9	0.0	0.0	0.0	0.0	5.1
Einsiedeln	911	2699983 / 1221068	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.2	0.0	0.0	0.0	0.0	0.7
Elm	958	2732265 / 1198424	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.2	0.3	0.3	0.0	0.0	0.0	0.0	0.8
Engelberg	1036	2674161 / 1186069	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.3	0.3	0.4	0.0	0.0	0.0	0.0	1.0
Evolène / Villa	1825	2605411 / 1106748	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Fahy	596	2562464 / 1252675	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.8	2.4	2.5	0.0	0.0	0.0	0.0	5.7
Fribourg / Grangeneuve	651	2575183 / 1180076	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	1.1	2.4	2.2	0.0	0.0	0.0	0.0	5.7
Genève / Cointrin	411	2498904 / 1122631	01.1991-12.2020	0.0	0.0	0.0	0.0	0.4	3.6	7.1	6.4	0.1	0.0	0.0	0.0	17.6
Glarus	517	2723756 / 1210567	01.1991-12.2020	0.0	0.0	0.0	0.0	0.2	1.6	2.8	1.7	0.0	0.0	0.0	0.0	6.3
Grimsel Hospiz	1980	2668583 / 1158214	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Grono	324	2733017 / 1124089	01.1991-12.2020	0.0	0.0	0.0	0.0	0.4	3.9	7.2	5.3	0.3	0.0	0.0	0.0	17.1
Grächen	1605	2630738 / 1116062	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1
Gütsch, Andermatt	2286	2690087 / 1167480	01.1991-12.2020	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0
Güttingen	440	2738422 / 1273962	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	1.9	3.3	2.7	0.0	0.0	0.0	0.0	8.0
Hallau	419	2677456 / 1283471	01.1991-12.2020	0.0	0.0	0.0	0.0	0.1	2.0	4.3	4.1	0.0	0.0	0.0	0.0	10.5
