Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Air temperature 2m / degree Celsius / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	0.4	1.0	4.8	8.6	13.0	16.7	18.4	18.0	13.6	9.4	4.3	1.2	9.1
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	1.8	3.0	7.1	10.5	14.0	17.7	19.4	18.8	14.9	10.5	5.9	2.5	10.5
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	-1.2	-1.2	1.9	5.2	9.2	12.6	14.5	14.3	10.6	7.2	2.4	-0.3	6.3
Aigle	381	2560403 / 1130713	01.1991-12.2020	1.4	2.4	6.3	10.1	14.2	17.7	19.4	18.9	14.8	10.6	5.4	2.2	10.3
Altdorf	438	2690180 / 1193563	01.1991-12.2020	1.6	2.4	6.1	9.9	14.0	17.3	18.9	18.5	14.7	10.7	5.7	2.3	10.2
Andermatt	1435	2687444 / 1165043	01.1991-12.2020	-4.8	-4.3	-1.0	3.0	7.5	11.0	12.7	12.6	8.9	5.2	-0.1	-3.9	3.9
Arosa	1878	2771030 / 1184830	01.1991-12.2020	-3.4	-3.8	-1.4	1.8	6.1	9.9	11.8	11.9	8.3	5.3	0.5	-2.5	3.7
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	1.1	2.3	6.5	10.4	14.4	17.6	19.1	18.8	14.9	10.9	5.8	2.0	10.3
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	2.2	3.2	7.0	10.7	14.6	18.2	20.2	19.7	15.4	11.1	6.0	2.9	10.9
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	0.2	1.1	5.2	9.0	13.2	16.9	18.8	18.4	14.1	9.5	4.2	0.9	9.3
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	-5.4	-4.4	-0.4	3.3	8.0	11.7	13.4	12.9	9.0	4.9	-0.6	-4.3	4.0
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	1.2	1.9	5.9	9.9	14.0	17.7	19.4	18.8	14.6	10.1	5.0	1.9	10.0
Buffalora	1971	2816494 / 1170254	01.1991-12.2020	-9.1	-7.9	-3.7	0.4	5.2	9.2	11.0	10.8	6.6	2.3	-3.4	-8.2	1.1
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	-0.9	-0.9	1.9	5.1	9.1	12.7	14.8	14.6	10.7	7.2	2.7	0.0	6.4
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	-2.3	-2.8	-0.5	2.5	6.4	10.0	12.0	12.1	8.4	5.5	1.1	-1.4	4.3
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	-0.9	-0.8	2.4	5.7	9.6	13.2	15.3	15.1	11.2	7.5	3.0	0.1	6.8
Chur	557	2759488 / 1193181	01.1991-12.2020	1.0	2.1	6.3	10.2	14.4	17.7	19.3	18.9	14.9	10.8	5.6	1.9	10.3
Château-d'Oex	1028	2577040 / 1147654	01.1991-12.2020	-1.9	-1.1	2.7	6.4	10.5	14.0	15.7	15.3	11.5	7.6	2.3	-1.1	6.8
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	-1.1	-1.3	0.9	3.7	7.9	11.8	14.0	13.9	9.9	6.3	2.1	-0.4	5.6
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	-6.9	-7.4	-5.2	-2.6	1.5	5.9	8.4	8.5	4.6	1.2	-3.6	-6.0	-0.1
Davos	1594	2783519 / 1187458	01.1991-12.2020	-4.7	-4.2	-0.7	3.0	7.4	11.0	12.8	12.6	8.7	5.1	0.0	-3.6	4.0
Delémont	439	2593269 / 1244543	01.1991-12.2020	0.9	1.9	5.4	9.1	13.2	16.9	18.7	18.2	14.1	10.0	4.8	1.7	9.6
Disentis	1197	2708190 / 1173793	01.1991-12.2020	-1.1	-0.8	2.6	6.3	10.4	14.0	15.8	15.5	11.7	8.0	3.0	-0.2	7.1
Ebnat-Kappel	623	2726347 / 1237176	01.1991-12.2020	-1.1	-0.1	3.8	7.8	12.1	15.7	17.4	16.9	12.7	8.5	3.3	-0.2	8.1
Einsiedeln	911	2699983 / 1221068	01.1991-12.2020	-1.5	-1.1	2.6	6.6	10.8	14.4	16.2	16.0	11.9	7.9	2.9	-0.4	7.2
