Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Mean minimum temperature 2m / degree Celsius / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	-2.8	-3.1	-0.1	2.7	7.2	11.0	12.7	12.6	8.8	5.3	0.9	-1.9	4.4
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	-1.2	-0.7	2.4	5.4	9.0	12.4	14.0	13.8	10.6	7.1	2.8	-0.3	6.3
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	-4.7	-5.0	-2.1	0.7	4.6	8.1	10.0	10.0	6.7	3.5	-0.9	-3.8	2.3
Aigle	381	2560403 / 1130713	01.1991-12.2020	-2.1	-1.5	1.5	4.4	8.8	12.1	13.6	13.5	9.7	6.0	1.5	-1.1	5.5
Altdorf	438	2690180 / 1193563	01.1991-12.2020	-2.1	-1.8	1.1	4.4	8.6	12.0	13.7	13.4	9.9	6.3	1.8	-1.3	5.5
Andermatt	1435	2687444 / 1165043	01.1991-12.2020	-10.3	-10.3	-6.4	-2.4	1.8	4.8	6.7	6.5	3.2	0.0	-4.8	-8.9	-1.7
Arosa	1878	2771030 / 1184830	01.1991-12.2020	-6.7	-7.5	-5.0	-1.6	2.5	5.8	7.8	8.2	4.6	1.6	-2.8	-5.7	0.1
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	-2.1	-1.3	2.2	5.6	9.7	13.0	14.7	14.6	10.9	7.2	2.5	-1.1	6.3
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	-0.5	-0.1	2.6	5.5	9.5	13.1	14.9	14.8	11.0	7.6	3.2	0.4	6.8
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	-2.9	-2.8	0.3	3.4	7.6	11.3	13.0	12.9	9.2	5.5	1.0	-2.1	4.7
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	-8.8	-8.9	-5.1	-1.4	2.5	5.2	7.0	7.0	3.8	0.7	-3.6	-7.2	-0.7
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	-1.5	-1.7	1.2	4.3	8.5	12.1	13.6	13.5	9.8	6.5	2.3	-0.5	5.7
Buffalora	1971	2816494 / 1170254	01.1991-12.2020	-15.5	-15.2	-10.6	-5.9	-0.9	2.3	3.7	3.8	0.4	-3.2	-8.5	-13.9	-5.3
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	-3.6	-3.7	-1.1	1.8	5.5	8.9	10.9	11.0	7.6	4.4	0.0	-2.7	3.3
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	-4.7	-5.2	-3.0	-0.3	3.5	7.0	8.9	9.3	5.9	3.0	-1.3	-3.8	1.6
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	-3.4	-3.5	-0.5	2.6	6.4	9.8	11.7	11.6	8.2	4.8	0.4	-2.5	3.8
Chur	557	2759488 / 1193181	01.1991-12.2020	-2.1	-1.4	1.9	5.1	9.3	12.6	14.3	14.3	10.6	6.8	2.4	-1.0	6.1
Château-d'Oex	1028	2577040 / 1147654	01.1991-12.2020	-5.7	-5.5	-2.1	0.8	5.0	8.4	10.2	10.0	6.7	3.4	-1.2	-4.4	2.1
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	-3.6	-3.7	-1.5	1.1	5.2	9.1	11.2	11.3	7.6	4.1	0.0	-2.7	3.2
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	-9.5	-10.0	-7.9	-5.2	-1.1	2.9	5.1	5.5	2.1	-1.2	-5.9	-8.6	-2.8
Davos	1594	2783519 / 1187458	01.1991-12.2020	-8.8	-9.0	-5.5	-2.0	2.3	5.8	7.6	7.7	4.1	0.8	-3.8	-7.2	-0.7
Delémont	439	2593269 / 1244543	01.1991-12.2020	-2.4	-2.1	0.4	3.2	7.5	11.1	12.6	12.5	9.2	6.0	1.6	-1.5	4.8
Disentis	1197	2708190 / 1173793	01.1991-12.2020	-4.1	-4.2	-1.3	1.9	5.8	9.0	11.0	11.1	7.7	4.5	0.1	-3.1	3.2
Ebnat-Kappel	623	2726347 / 1237176	01.1991-12.2020	-4.8	-4.7	-1.4	1.6	5.9	9.8	11.5	11.3	7.6	4.2	-0.4	-3.8	3.1
Einsiedeln	911	2699983 / 1221068	01.1991-12.2020	-5.3	-5.3	-1.8	1.8	6.0	9.7	11.6	11.4	7.7	4.1	-0.6	-4.0	2.9
Elm	958	2732265 / 1198424	01.1991-12.2020	-5.6	-5.4	-1.8	1.7	5.8	9.2	10.9	10.9	7.3	3.8	-0.9	-4.5	2.6
Engelberg	1036	2674161 / 1186069	01.1991-12.2020	-5.3	-5.1	-1.7	1.5	5.4	8.9	10.7	10.7	7.2	3.8	-0.9	-4.2	2.6
Evolène / Villa	1825	2605411 / 1106748	01.1991-12.2020	-5.5	-6.0	-3.5	-0.8	2.9	6.3	8.2	8.6	5.3	2.3	-2.1	-4.6	0.9
Fahy	596	2562464 / 1252675	01.1991-12.2020	-1.7	-1.3	1.4	4.2	8.0	11.4	13.3	13.3	9.9	6.4	2.0	-0.6	5.5
Fribourg / Grangeneuve	651	2575183 / 1180076	01.1991-12.2020	-2.6	-2.5	0.5	3.2	7.5	11.2	13.0	12.7	9.1	5.6	1.3	-1.8	4.8
Genève / Cointrin	411	2498904 / 1122631	01.1991-12.2020	-1.1	-1.1	1.7	5.0	9.1	12.7	14.6	14.2	10.7	7.2	2.6	-0.2	6.3
Glarus	517	2723756 / 1210567	01.1991-12.2020	-3.0	-2.4	1.0	4.4	8.4	11.9	13.6	13.5	10.0	6.1	1.5	-1.9	5.3
Grimsel Hospiz	1980	2668583 / 1158214	01.1991-12.2020	-7.4	-7.9	-5.5	-2.7	1.3	4.9	7.0	7.3	4.2	1.4	-3.1	-6.2	-0.6
Grono	324	2733017 / 1124089	01.1991-12.2020	-2.5	-1.4	2.1	5.3	9.2	13.0	14.7	14.7	11.1	7.1	2.3	-1.9	6.1
Grächen	1605	2630738 / 1116062	01.1991-12.2020	-5.4	-5.6	-2.7	0.4	4.3	7.9	9.8	9.9	6.5	3.2	-1.4	-4.4	1.9
Gütsch, Andermatt	2286	2690087 / 1167480	01.1991-12.2020	-8.3	-8.9	-6.8	-4.2	-0.2	3.5	5.6	6.0	2.6	-0.3	-4.7	-7.4	-1.9
Güttingen	440	2738422 / 1273962	01.1991-12.2020	-1.6	-1.5	1.3	4.2	8.6	12.2	13.9	13.8	10.3	6.6	2.3	-0.7	5.8
Hallau	419	2677456 / 1283471	01.1991-12.2020	-2.7	-2.8	0.2	3.2	7.4	11.0	12.6	12.6	8.7	5.2	1.1	-1.8	4.6
Hörnli	1133	2713517 / 1247756	01.1991-12.2020	-3.1	-3.1	-0.4	2.7	6.6	10.1	12.0	12.2	8.6	5.2	0.7	-2.2	4.1
Interlaken	577	2633023 / 1169091	01.1991-12.2020	-2.8	-2.5	0.9	4.1	8.3	12.1	13.8	13.6	10.0	6.0	1.2	-1.8	5.2
