Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Mean maximum temperature 2m / degree Celsius / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	3.3	4.9	9.9	14.4	18.7	22.2	24.2	23.8	19.0	13.6	7.4	3.9	13.8
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	5.8	7.7	12.5	15.8	19.5	23.6	25.8	25.0	20.3	15.1	9.8	6.3	15.6
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	2.8	3.3	6.7	10.3	14.3	17.9	19.8	19.4	15.6	12.1	6.6	3.7	11.0
Aigle	381	2560403 / 1130713	01.1991-12.2020	5.2	6.7	11.4	15.5	19.4	23.1	25.3	24.7	20.2	15.4	9.6	5.8	15.2
Altdorf	438	2690180 / 1193563	01.1991-12.2020	5.0	6.4	10.8	15.0	19.3	22.4	24.1	23.6	19.4	14.9	9.1	5.4	14.6
Arosa	1878	2771030 / 1184830	01.1991-12.2020	-0.5	-0.4	2.1	5.1	9.7	13.7	15.7	15.7	11.7	8.6	3.4	0.2	7.1
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	4.5	6.2	11.3	15.7	19.8	22.9	24.6	24.1	19.7	15.5	9.5	5.2	14.9
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	5.1	7.1	11.8	16.2	20.0	23.7	25.8	25.3	20.7	15.4	9.2	5.7	15.5
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	3.4	5.2	10.3	14.5	18.6	22.5	24.6	24.2	19.4	14.0	7.7	3.8	14.0
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	0.1	1.8	5.3	8.8	13.9	18.1	20.4	19.8	15.8	11.5	4.8	0.4	10.1
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	3.9	5.9	11.1	15.6	19.6	23.5	25.6	25.0	20.2	14.5	8.0	4.3	14.8
Buffalora	1971	2816494 / 1170254	01.1991-12.2020	-1.9	-0.4	2.8	6.1	11.0	15.5	17.8	17.5	13.1	8.8	2.5	-1.7	7.6
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	1.8	2.0	5.2	8.9	12.9	16.7	18.9	18.5	14.3	10.4	5.5	2.7	9.8
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	0.3	-0.1	2.3	5.8	10.1	13.7	15.8	15.6	11.7	8.4	3.7	1.2	7.4
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	1.6	2.1	5.5	9.4	13.6	17.5	19.6	19.1	14.6	10.6	5.6	2.5	10.1
Chur	557	2759488 / 1193181	01.1991-12.2020	5.2	7.0	11.9	16.1	20.3	23.6	25.3	24.8	20.3	16.1	10.2	5.7	15.5
