Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Ice days (maximum lower than 0 degrees C) / number / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	8.5	5.5	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	6.7	23.1
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	1.0	0.9	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	1.3	3.5
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	8.7	7.7	3.4	0.8	0.1	0.0	0.0	0.0	0.0	0.3	3.9	7.6	32.5
Aigle	381	2560403 / 1130713	01.1991-12.2020	2.3	1.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.2	4.8
Altdorf	438	2690180 / 1193563	01.1991-12.2020	4.3	2.1	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	3.1	10.3
Arosa	1878	2771030 / 1184830	01.1991-12.2020	15.9	13.7	9.8	5.4	1.0	0.1	0.0	0.0	0.2	2.1	8.0	13.3	69.5
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	6.1	3.1	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	4.0	14.5
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	4.8	2.5	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	2.4	10.5
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	7.7	4.2	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.4	18.8
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	14.2	9.3	4.0	0.6	0.0	0.0	0.0	0.0	0.0	0.2	5.1	13.6	47.0
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	5.9	3.4	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.7	3.9	14.1
Buffalora	1971	2816494 / 1170254	01.1991-12.2020	20.5	14.7	8.3	2.6	0.1	0.0	0.0	0.0	0.0	1.2	8.2	19.0	74.6
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	10.4	9.3	4.4	0.6	0.0	0.0	0.0	0.0	0.0	0.2	4.4	9.0	38.3
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	13.7	12.9	9.5	4.6	0.4	0.0	0.0	0.0	0.1	1.6	7.6	11.2	61.6
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	10.4	9.0	4.3	0.7	0.0	0.0	0.0	0.0	0.0	0.3	4.3	8.7	37.7
Chur	557	2759488 / 1193181	01.1991-12.2020	3.5	2.6	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.5	2.9	9.7
Château-d'Oex	1028	2577040 / 1147654	01.1991-12.2020	8.6	5.4	1.3	0.0	0.0	0.0	0.0	0.0	0.0	0.1	2.3	7.0	24.7
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	11.4	11.1	5.2	1.0	0.0	0.0	0.0	0.0	0.0	0.2	3.7	9.4	42.0
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	25.7	23.3	22.2	15.4	4.2	0.3	0.1	0.1	1.3	5.9	18.5	24.3	141.3
Davos	1594	2783519 / 1187458	01.1991-12.2020	14.5	10.9	6.3	1.7	0.1	0.0	0.0	0.0	0.0	0.8	6.2	12.8	53.3
Delémont	439	2593269 / 1244543	01.1991-12.2020	5.9	3.1	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	3.6	13.7
Disentis	1197	2708190 / 1173793	01.1991-12.2020	8.4	7.2	2.0	0.1	0.0	0.0	0.0	0.0	0.0	0.1	3.3	7.9	29.0
Ebnat-Kappel	623	2726347 / 1237176	01.1991-12.2020	8.0	5.1	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.7	6.1	22.1
Einsiedeln	911	2699983 / 1221068	01.1991-12.2020	9.9	7.2	2.7	0.3	0.0	0.0	0.0	0.0	0.0	0.1	3.1	8.5	31.8
Elm	958	2732265 / 1198424	01.1991-12.2020	11.2	7.7	2.3	0.1	0.0	0.0	0.0	0.0	0.0	0.1	4.0	9.5	34.9
Engelberg	1036	2674161 / 1186069	01.1991-12.2020	11.0	7.7	2.8	0.3	0.0	0.0	0.0	0.0	0.0	0.3	4.4	8.7	35.2
Evolène / Villa	1825	2605411 / 1106748	01.1991-12.2020	13.5	11.4	5.8	2.0	0.2	0.0	0.0	0.0	0.0	0.8	6.0	10.2	49.9
Fahy	596	2562464 / 1252675	01.1991-12.2020	7.3	5.4	1.1	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.3	5.3	20.5
Fribourg / Grangeneuve	651	2575183 / 1180076	01.1991-12.2020	7.3	4.4	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.5	6.4	20.2
Genève / Cointrin	411	2498904 / 1122631	01.1991-12.2020	3.4	1.7	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	1.9	7.3
Glarus	517	2723756 / 1210567	01.1991-12.2020	7.4	4.9	0.8	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	5.1	19.4
Grimsel Hospiz	1980	2668583 / 1158214	01.1991-12.2020	20.5	18.1	13.4	7.8	1.7	0.2	0.1	0.1	0.8	2.7	10.2	16.5	92.1
Grono	324	2733017 / 1124089	01.1991-12.2020	1.1	0.6	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.2	3.0
Grächen	1605	2630738 / 1116062	01.1991-12.2020	11.7	10.6	4.4	0.8	0.1	0.0	0.0	0.0	0.0	0.3	5.5	11.3	44.7
Gütsch, Andermatt	2286	2690087 / 1167480	01.1991-12.2020	23.1	21.6	19.2	11.7	2.8	0.4	0.0	0.1	1.1	3.6	13.3	20.6	117.5
Güttingen	440	2738422 / 1273962	01.1991-12.2020	8.0	4.7	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	4.8	19.1
Hallau	419	2677456 / 1283471	01.1991-12.2020	7.9	4.2	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	5.6	19.2
Hörnli	1133	2713517 / 1247756	01.1991-12.2020	10.9	10.0	5.0	0.8	0.0	0.0	0.0	0.0	0.0	0.4	5.2	9.0	41.3
Interlaken	577	2633023 / 1169091	01.1991-12.2020	6.7	3.6	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	5.0	16.5
Jungfraujoch	3571	2641938 / 1155287	01.1991-12.2020	30.9	27.7	30.5	28.1	22.2	10.7	5.8	4.7	12.9	21.1	27.8	30.6	253.0
Koppigen	485	2612663 / 1218664	01.1991-12.2020	7.5	3.9	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.2	5.9	19.0
La Brévine	1050	2536981 / 1203974	01.1991-12.2020	11.5	8.4	2.9	0.2	0.0	0.0	0.0	0.0	0.0	0.1	3.9	8.8	35.8
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1991-12.2020	7.5	6.4	2.4	0.2	0.0	0.0	0.0	0.0	0.0	0.1	2.8	6.4	25.8
La Dôle	1670	2497059 / 1142372	01.1991-12.2020	13.9	13.3	9.6	4.5	0.7	0.0	0.0	0.0	0.0	1.4	7.8	11.3	62.5
Langnau i.E.	744	2628004 / 1198793	01.1991-12.2020	7.9	4.9	1.0	0.0	0.0	0.0	0.0	0.0	0.0	0.1	1.6	6.4	21.9
Le Moléson	1974	2567718 / 1155076	01.1991-12.2020	15.2	14.0	11.0	5.9	1.4	0.1	0.0	0.0	0.3	1.8	8.2	11.9	69.8
Locarno / Monti	367	2704166 / 1114315	01.1991-12.2020	0.1	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	0.7
Lugano	273	2717874 / 1095882	01.1991-12.2020	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.2	0.5
Luzern	454	2665544 / 1209849	01.1991-12.2020	6.5	3.8	0.4	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.8	3.7	15.2
Lägern	845	2672251 / 1259459	01.1991-12.2020	11.9	9.3	2.8	0.2	0.0	0.0	0.0	0.0	0.0	0.1	4.1	9.6	38.0
Magadino / Cadenazzo	203	2715479 / 1113160	01.1991-12.2020	0.0	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	0.7
Meiringen	589	2655844 / 1175929	01.1991-12.2020	9.1	4.1	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	8.1	23.1
Montana	1423	2601708 / 1127488	01.1991-12.2020	9.5	8.1	3.1	0.3	0.0	0.0	0.0	0.0	0.0	0.1	4.1	8.7	33.9
Napf	1404	2638137 / 1206079	01.1991-12.2020	11.5	11.5	7.6	2.9	0.2	0.0	0.0	0.0	0.0	1.0	6.3	9.9	50.9
Neuchâtel	485	2563086 / 1205559	01.1991-12.2020	5.6	3.1	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	3.1	12.6
Nyon / Changins	458	2506877 / 1139573	01.1991-12.2020	4.3	2.3	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.4	2.5	9.6
Passo del Bernina	2260	2798423 / 1143019	01.1991-12.2020	24.5	21.3	16.9	8.6	NA	0.2	0.0	0.0	0.5	3.5	12.3	21.7	NA
Payerne	490	2562130 / 1184611	01.1991-12.2020	6.9	3.7	0.2	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.9	5.1	16.8
Pilatus	2105	2661904 / 1203410	01.1991-12.2020	16.4	15.8	13.7	8.6	2.5	0.2	0.0	0.0	0.8	2.9	9.2	13.9	84.0
Piotta	990	2695880 / 1152264	01.1991-12.2020	7.8	3.6	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.1	6.9	19.9
Piz Corvatsch	3294	2783155 / 1143524	01.1991-12.2020	30.6	27.6	30.6	28.1	20.2	6.9	2.6	2.0	8.9	17.8	27.2	30.4	232.9
Plaffeien	1042	2586828 / 1177406	01.1991-12.2020	10.0	7.5	2.9	0.4	0.0	0.0	0.0	0.0	0.0	0.2	3.7	7.8	32.5
Poschiavo / Robbia	1078	2801993 / 1136248	01.1991-12.2020	3.9	3.0	0.5	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.6	3.2	11.2
Pully	456	2540819 / 1151510	01.1991-12.2020	3.4	2.1	0.1	0.0	0.0	0.0	0.0	0.0	0.0	0.0	0.3	1.7	7.6
Robièi	1898	2682587 / 1144090	01.1991-12.2020	17.1	15.5	10.2	4.5	0.3	0.0	0.0	0.0	0.0	1.4	8.3	15.1	72.4
Rünenberg	611	2633252 / 1253846	01.1991-12.2020	8.3	5.7	0.9	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.3	5.9	22.1
S. Bernardino	1639	2734116 / 1147293	01.1991-12.2020	13.9	12.1	5.8	1.3	0.1	0.0	0.0	0.0	0.0	0.4	5.0	11.5	50.1
Salen-Reutenen	719	2719100 / 1279046	01.1991-12.2020	11.7	8.2	1.8	0.0	0.0	0.0	0.0	0.0	0.0	0.1	2.7	9.0	33.5
Samedan	1709	2787250 / 1155684	01.1991-12.2020	18.9	11.9	4.6	1.0	0.0	0.0	0.0	0.0	0.0	0.4	6.2	16.7	59.7
Schaffhausen	438	2688703 / 1282803	01.1991-12.2020	7.6	3.9	0.3	0.0	0.0	0.0	0.0	0.0	0.0	0.0	1.0	5.1	17.9
Scuol	1304	2817138 / 1186393	01.1991-12.2020	14.9	7.0	1.5	0.1	0.0	0.0	0.0	0.0	0.0	0.1	3.5	13.8	40.9
Segl-Maria	1804	2778576 / 1144976	01.1991-12.2020	18.8	14.6	7.3	2.5	0.0	0.0	0.0	0.0	0.0	0.6	5.9	15.0	64.7
