group,concession,flow_scenario_id,contaminant_id,flow_scenario_type,flow_scenario_params,contaminant,cas_number,threshold_mg_L,threshold_basis,conservative,sorption,distribution_coefficient_mL_g,bulk_density_kg_m3,decay,first_order_decay_constant_1_per_day,half_life_days,porosity,longitudinal_dispersivity_m,transverse_dispersivity_m,vertical_dispersivity_m,molecular_diffusion_m2_s,solubility_mg_L,refine_radius_m,source_type,source_release_type,source_easting_offset_m,source_northing_offset_m,source_layer,source_start_time_days,source_duration_days,source_value,source_value_field,source_value_unit,flow_config_file,flow_config_sha256,transport_config_file,transport_config_sha256,doublet_table_file,doublet_table_sha256
0,b010210,0,0,chd_head_change,"{""chd_head_change_m"": -1}",Trichloroethylene (TCE),79-01-6,0.005,drinking_water_MCL,True,False,0,1800,False,0,,0.2,10,1,0.1,1e-09,1100,90,point,pulse,51,-77,1,0,1,5,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
1,b010219,1,1,river_conductance,"{""conductance_factor"": 1.2, ""target"": ""Limmat & Sihl""}",Nitrate (NO3-),14797-55-8,25,drinking_water_as_NO3,True,False,0,1800,False,0,,0.2,10,1,0.1,1.9e-09,850000,50,point,pulse,42.4,42.4,1,0,1,700,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
2,b010201,2,2,river_conductance,"{""conductance_factor"": 0.8, ""target"": ""Limmat & Sihl""}",Benzene,71-43-2,0.005,drinking_water_MCL,False,False,0,1800,True,0.005,138.6,0.2,10,1,0.1,1e-09,1780,62,point,pulse,50,-102,1,0,10,1.5,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
3,b010236,3,3,recharge_scale,"{""recharge_factor"": 1.2}",Chloride (conservative tracer),16887-00-6,100,aesthetic_indicator,True,False,0,1800,False,0,,0.2,10,1,0.1,2e-09,350000,90,area,continuous,100,-83,1,0,3650,200,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
4,b010120,4,4,recharge_scale,"{""recharge_factor"": 0.8}",Chromium (Cr-VI),18540-29-9,0.1,drinking_water_standard,False,True,2,1800,False,0,,0.2,10,1,0.1,1.1e-09,10000,90,point,pulse,53,-76,1,0,1,9,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
5,b010223,5,5,river_stage,"{""stage_change_m"": 1.5, ""stage_zone"": 1, ""target"": ""Limmat & Sihl""}",PFOA (perfluorooctanoic acid),335-67-1,0.0002,drinking_water_advisory,True,False,0,1800,False,0,,0.2,10,1,0.1,7e-10,9500,70,point,pulse,32,-66,1,0,1,0.28,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
6,b010227,6,6,river_width_and_stage,"{""stage_change_factor"": -0.5, ""stage_zone"": 1, ""target"": ""Limmat & Sihl"", ""width_factor"": 1.5}",Perchloroethylene (PCE),127-18-4,0.04,drinking_water_MCL,False,True,0.08,1800,False,0,,0.2,10,1,0.1,9e-10,200,44,point,pulse,56,-244,1,0,90,2.9,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
7,b010213,7,7,aquifer_transmissivity,"{""transmissivity_factor"": 1.2}",Ammonium (NH4+),14798-03-9,0.5,drinking_water_guideline,False,False,0,1800,True,0.02,34.7,0.2,10,1,0.1,1.9e-09,1000000,84,line,continuous,75,-114,1,0,3650,30,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
8,b010207,8,8,aquifer_transmissivity,"{""transmissivity_factor"": 0.8}",Atrazine,1912-24-9,0.1,drinking_water_standard_EU,False,True,0.3,1800,False,0,,0.2,10,1,0.1,8e-10,35,44,point,pulse,-53,-82,1,0,90,15,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
9,b010204,9,9,chd_head_change,"{""chd_head_change_m"": 1}",MTBE (methyl tert-butyl ether),1634-04-4,0.015,taste_and_odour,False,True,0.03,1800,True,0.00198042,350,0.2,10,1,0.1,1.9e-09,42000,56,point,pulse,179.7,-187.9,1,0,7,4,concentration_mg_L,mg_L,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config.yaml,620f855d1b5494b8ff40b0227a9313e5baac534239275c3ff896d20f68d5c503,/Users/bea/Documents/GitHub/applied_groundwater_modelling/PROJECT/workspace/template/case_config_transport.yaml,9511bf3520b82b3524be79f22c7b8a64d5e0ffaf006e0c82bc843b817b38099d,/Users/bea/Documents/GitHub/applied_groundwater_modelling/_SUPPORT/casestudy_scenarios/doublet_table.csv,da80e86d01f9d2d48881f068b593ccbd2ed0463dd36a0bb0131e201683f48b7f
