group,old_concession,new_concession,old_inj_E,old_inj_N,old_ext_E,old_ext_N,new_inj_E,new_inj_N,new_ext_E,new_ext_N,inj_move_m,ext_move_m,old_Q,new_Q,recirc_old,recirc_stale,source_offset_easting,source_offset_northing,source_offset_unchanged,old_source_abs_E,old_source_abs_N,new_source_abs_E,new_source_abs_N,source_abs_move_m,upgradient_unverified
0,b010210,b010210,2681704.9,1247555.9,2681885.9,1247397.9,2681704.9,1247555.9,2681885.9,1247397.9,0,0,4320,4320,0.221,True,51,-77,True,2681936.9,1247320.9,2681936.9,1247320.9,0,True
1,b010219,b010219,2679765.3,1249207.9,2679684.5,1249120.4,2679765.3,1249207.9,2679684.5,1249120.4,0,0,4320,4320,0.272,True,155.3,-89.7,True,2679839.8,1249030.7,2679839.8,1249030.7,0,True
2,b010201,b010201,2679926.5,1248996.9,2680130.5,1248879.9,2679926.5,1248996.9,2680130.5,1248879.9,0,0,4320,4320,0.384,True,50,-102,True,2680180.5,1248777.9,2680180.5,1248777.9,0,True
3,b010236,b010236,2680756,1249057,2680862,1249015,2680756,1249057,2680862,1249015,0,0,4320,4320,0.213,True,100,-83,True,2680962,1248932,2680962,1248932,0,True
4,b010120,b010120,2682590,1248496.9,2682706,1248549.9,2682590,1248496.9,2682706,1248549.9,0,0,4320,4320,0.376,True,53,-76,True,2682759,1248473.9,2682759,1248473.9,0,True
5,b010223,b010223,2681890,1248203.9,2681894,1248169.9,2681890,1248203.9,2681894,1248169.9,0,0,4320,4320,0.142,True,32,-66,True,2681926,1248103.9,2681926,1248103.9,0,True
6,b010227,b010227,2681757,1247774,2681881,1247765,2681757,1247774,2681881,1247765,0,0,4320,4320,0.596,True,56,-244,True,2681937,1247521,2681937,1247521,0,True
7,b010213,b010213,2682090,1248102.9,2682138,1248114.9,2682090,1248102.9,2682138,1248114.9,0,0,4320,4320,0.093,True,75,-114,True,2682213,1248000.9,2682213,1248000.9,0,True
8,b010207,b010207,2682181.4,1247730.9,2682105.4,1247611.4,2682181.4,1247730.9,2682105.4,1247611.4,0,0,4320,4320,0.46,True,-53,-82,True,2682052.4,1247529.4,2682052.4,1247529.4,0,True
9,b010204,b010204,2678858.5,1250067.4,2678967,1250021.4,2678858.5,1250067.4,2678967,1250021.4,0,0,4320,4320,0,True,179.7,-187.9,True,2679146.7,1249833.5,2679146.7,1249833.5,0,True
10,b010220,b010220,2681128,1249224,2681225,1249229,2681128,1249224,2681225,1249229,0,0,4320,4320,0,True,92.3,-118.2,True,2681317.3,1249110.8,2681317.3,1249110.8,0,True
11,b010226,b010226,2680207,1248955,2680191,1248880,2680207,1248955,2680191,1248880,0,0,4320,4320,0,True,52.8,-45.9,True,2680243.8,1248834.1,2680243.8,1248834.1,0,True
12,b010222,b010222,2682236.9,1247838.9,2682181.9,1247873.9,2682236.9,1247838.9,2682181.9,1247873.9,0,0,4320,4320,0,True,88.2,-108.7,True,2682270.1,1247765.2,2682270.1,1247765.2,0,True
