Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Global radiation / watt/square meter / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	41.9	75.0	127.0	182.0	215.0	241.2	238.9	204.4	145.4	83.1	45.0	32.2	135.9
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	55.0	91.0	138.8	173.2	195.4	217.3	218.8	185.1	141.4	88.8	54.8	43.8	133.6
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	60.4	96.6	147.8	191.2	210.0	226.1	223.9	195.6	155.4	102.9	63.5	48.7	143.5
Aigle	381	2560403 / 1130713	01.1991-12.2020	55.7	91.5	145.1	195.8	221.7	247.4	245.1	211.6	163.3	104.6	61.4	45.0	149.0
Altdorf	438	2690180 / 1193563	01.1991-12.2020	42.7	79.9	129.3	182.3	209.3	222.9	213.6	183.4	142.5	91.5	49.5	32.5	131.6
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	41.3	72.1	121.9	177.4	209.6	242.5	242.4	205.9	148.6	88.2	47.5	32.7	135.8
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	47.3	82.3	135.9	188.5	223.5	254.8	251.0	214.7	157.5	94.0	51.3	37.0	144.8
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	38.2	72.3	126.2	184.0	217.6	245.5	242.7	207.4	148.5	82.0	42.5	29.4	136.4
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	56.4	90.0	139.2	183.1	209.6	236.3	240.2	206.5	151.4	95.6	59.4	45.6	142.8
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	63.3	99.0	147.9	190.9	203.3	223.6	223.1	193.0	146.3	101.1	64.1	49.3	142.1
Chur	557	2759488 / 1193181	01.1991-12.2020	60.3	96.5	146.9	200.4	231.6	251.9	246.2	211.1	162.5	109.1	66.2	48.6	152.6
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	74.3	114.4	166.7	196.0	225.6	260.5	265.7	226.9	166.4	108.1	70.2	60.0	161.2
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	57.6	117.8	188.8	234.7	252.2	259.1	251.5	216.5	163.6	109.8	64.3	40.1	163.0
Davos	1594	2783519 / 1187458	01.1991-12.2020	69.2	110.8	168.1	213.8	230.0	244.4	238.9	206.3	163.6	115.0	72.5	54.7	157.3
Disentis	1197	2708190 / 1173793	01.1991-12.2020	63.1	102.4	158.2	199.3	219.0	241.3	240.5	206.9	161.5	105.5	63.7	49.3	150.9
Engelberg	1036	2674161 / 1186069	01.1991-12.2020	46.5	90.4	140.5	187.5	206.6	219.5	211.3	182.5	140.5	95.2	53.7	32.9	133.9
Evolène / Villa	1825	2605411 / 1106748	01.1991-12.2020	74.6	117.7	177.6	222.4	245.9	257.8	254.2	219.4	176.3	120.7	77.1	59.8	167.0
Fahy	596	2562464 / 1252675	01.1991-12.2020	44.3	77.1	127.4	182.3	214.1	249.7	247.4	212.2	153.2	91.3	50.3	35.2	140.4
Genève / Cointrin	411	2498904 / 1122631	01.1991-12.2020	43.4	81.4	142.0	197.0	234.4	266.8	265.0	226.4	167.0	95.9	51.2	34.3	150.4
Glarus	517	2723756 / 1210567	01.1991-12.2020	44.9	74.1	114.8	171.2	199.6	215.1	208.2	178.8	127.1	81.2	48.3	35.6	124.9
Grimsel Hospiz	1980	2668583 / 1158214	01.1991-12.2020	62.8	108.6	170.1	219.7	234.7	238.1	233.9	201.2	152.8	101.4	60.9	48.5	152.7
Gütsch, Andermatt	2286	2690087 / 1167480	01.1991-12.2020	80.2	125.7	190.7	240.7	249.4	255.5	255.4	221.6	173.8	120.9	80.5	65.0	171.6
Güttingen	440	2738422 / 1273962	01.1991-12.2020	39.0	72.0	126.7	183.9	219.0	243.7	240.3	203.3	143.9	80.6	42.7	30.5	135.5
Hörnli	1133	2713517 / 1247756	01.1991-12.2020	49.7	79.0	125.9	175.9	202.2	227.7	228.3	201.3	145.7	92.8	54.6	39.2	135.2
Interlaken	577	2633023 / 1169091	01.1991-12.2020	46.6	78.4	130.3	188.2	216.0	237.4	238.9	204.7	152.0	91.4	52.5	36.7	139.4
Jungfraujoch	3571	2641938 / 1155287	01.1991-12.2020	73.7	115.1	181.2	240.2	271.9	290.4	272.7	238.8	194.7	128.8	78.8	59.6	178.8
La Chaux-de-Fonds	1017	2550919 / 1214861	01.1991-12.2020	55.9	90.4	137.5	181.2	203.1	233.2	235.6	204.0	151.1	98.1	58.8	43.3	141.0
La Dôle	1670	2497059 / 1142372	01.1991-12.2020	66.2	102.4	154.6	193.1	209.3	235.9	237.5	208.9	158.2	109.1	69.6	52.5	149.8
Le Moléson	1974	2567718 / 1155076	01.1991-12.2020	68.8	107.3	158.6	204.4	216.6	232.3	230.8	206.2	164.2	116.6	73.2	55.2	152.9
Locarno / Monti	367	2704166 / 1114315	01.1991-12.2020	66.5	104.6	158.5	194.6	228.9	263.5	268.2	229.4	168.6	104.2	64.4	54.3	158.8
Lugano	273	2717874 / 1095882	01.1991-12.2020	62.2	98.0	150.0	185.8	223.7	258.9	265.0	228.5	165.6	100.9	61.7	50.2	154.2
Luzern	454	2665544 / 1209849	01.1991-12.2020	40.4	73.1	124.4	175.8	205.3	228.5	232.6	198.9	141.5	84.1	45.5	31.6	131.8
Lägern	845	2672251 / 1259459	01.1991-12.2020	42.5	77.5	129.5	180.6	209.7	237.4	237.9	203.8	146.3	83.8	46.2	32.9	135.7
Magadino / Cadenazzo	203	2715479 / 1113160	01.1991-12.2020	59.1	96.7	148.9	184.3	219.0	255.6	259.6	220.3	161.3	98.0	58.1	45.2	150.5
Montana	1423	2601708 / 1127488	01.1991-12.2020	72.7	112.5	169.1	217.8	246.4	271.4	269.5	234.4	185.3	122.0	76.0	58.6	169.6
Napf	1404	2638137 / 1206079	01.1991-12.2020	55.8	84.9	130.9	172.3	192.0	216.0	218.4	189.9	141.0	95.7	58.5	43.5	133.2
Neuchâtel	485	2563086 / 1205559	01.1991-12.2020	39.3	76.1	132.4	186.6	218.8	247.5	246.0	211.2	155.5	87.5	45.1	30.0	139.7
Nyon / Changins	458	2506877 / 1139573	01.1991-12.2020	47.1	85.0	142.3	193.6	229.3	260.4	259.9	221.2	166.6	98.8	53.6	37.1	149.6
Payerne	490	2562130 / 1184611	01.1991-12.2020	45.6	81.6	137.8	192.3	228.7	260.3	255.4	217.9	161.3	92.4	50.1	35.4	146.6
Pilatus	2105	2661904 / 1203410	01.1991-12.2020	65.3	102.6	150.1	192.7	202.8	202.5	197.9	180.1	151.1	113.0	70.3	52.0	140.0
Piotta	990	2695880 / 1152264	01.1991-12.2020	32.7	88.7	148.4	186.8	206.9	234.6	237.8	202.0	151.9	90.0	40.5	21.1	136.8
Piz Corvatsch	3294	2783155 / 1143524	01.1991-12.2020	83.8	131.9	198.6	254.2	275.5	268.8	251.8	213.0	176.2	133.2	87.6	67.7	178.5
Plaffeien	1042	2586828 / 1177406	01.1991-12.2020	58.4	94.2	143.4	186.9	210.6	243.7	246.6	211.6	156.0	97.7	60.5	46.5	146.3
Poschiavo / Robbia	1078	2801993 / 1136248	01.1991-12.2020	66.2	103.2	152.0	184.7	208.0	229.7	230.0	193.2	145.3	98.4	64.0	52.0	143.9
Pully	456	2540819 / 1151510	01.1991-12.2020	48.1	83.8	138.2	191.6	223.9	254.6	250.7	214.3	160.2	98.2	55.2	38.2	146.4
Robièi	1898	2682587 / 1144090	01.1991-12.2020	68.8	109.7	170.2	211.9	226.8	245.3	242.2	199.7	151.2	97.9	66.8	54.4	153.7
Rünenberg	611	2633252 / 1253846	01.1991-12.2020	44.0	76.9	128.1	184.2	217.1	247.4	244.9	209.6	152.0	88.9	49.3	34.9	139.8
S. Bernardino	1639	2734116 / 1147293	01.1991-12.2020	67.4	108.0	161.2	193.2	205.7	223.7	225.1	192.4	148.5	96.3	63.2	53.6	144.9
Samedan	1709	2787250 / 1155684	01.1991-12.2020	74.6	115.1	173.8	218.2	242.4	261.5	256.1	216.9	169.0	116.6	74.6	59.7	164.9
Schaffhausen	438	2688703 / 1282803	01.1991-12.2020	36.8	71.3	123.2	177.4	211.8	237.7	234.0	200.2	145.3	80.9	40.7	28.3	132.3
Scuol	1304	2817138 / 1186393	01.1991-12.2020	66.1	107.6	167.1	213.7	235.3	251.1	249.8	213.5	166.9	112.9	67.6	50.2	158.5
Sion	482	2591632 / 1118583	01.1991-12.2020	58.0	102.0	161.3	218.7	251.6	278.9	273.0	232.8	180.6	115.2	65.4	44.3	165.2
St. Gallen	776	2747865 / 1254587	01.1991-12.2020	43.3	74.9	124.4	176.1	206.1	228.7	229.7	196.9	139.8	82.4	46.6	34.2	131.9
