Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Absolute sunshine duration / hours / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	52.8	76.8	130.5	163.8	180.6	205.5	225.3	205.0	148.4	94.2	51.2	38.9	1573.1
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	85.3	97.1	128.7	130.9	130.4	149.5	168.5	152.8	124.7	94.8	72.3	73.9	1409.1
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	89.1	99.5	132.0	142.8	154.8	168.2	183.8	172.1	146.1	118.6	83.4	79.3	1569.6
Aigle	381	2560403 / 1130713	01.1991-12.2020	92.2	113.0	162.8	177.0	184.3	209.5	227.7	216.1	179.7	140.9	92.6	79.0	1874.7
Altdorf	438	2690180 / 1193563	01.1991-12.2020	48.9	82.6	123.7	143.3	153.5	160.2	168.7	158.5	136.2	107.4	56.5	36.7	1376.2
Arosa	1878	2771030 / 1184830	01.1991-12.2020	111.9	114.5	143.3	149.0	156.9	172.0	198.0	185.0	153.4	136.8	97.1	90.9	1708.8
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	64.5	85.3	134.6	167.4	185.6	211.9	234.9	216.5	160.1	107.0	65.4	54.2	1687.4
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	66.1	94.4	151.3	179.3	197.1	222.5	245.2	227.8	175.2	119.1	66.0	53.1	1797.1
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	41.2	74.2	133.2	166.8	180.6	200.2	219.8	204.1	148.7	86.3	42.8	31.1	1528.9
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	85.5	99.4	141.9	153.1	172.3	192.6	213.4	197.4	149.9	115.0	81.5	78.4	1680.4
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	98.0	104.7	140.0	156.5	163.6	180.0	202.2	189.2	150.1	130.8	93.4	85.3	1693.7
Chur	557	2759488 / 1193181	01.1991-12.2020	97.0	111.7	144.6	158.7	174.1	189.5	207.5	191.8	158.1	131.8	92.7	82.1	1739.5
