Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Relative sunshine duration / per cent / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	23.7	30.8	38.9	44.9	42.4	47.2	51.5	52.7	43.9	32.0	22.6	18.2	40.0
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	58.0	59.9	58.6	48.2	41.8	47.3	52.8	52.3	53.6	50.1	47.9	54.6	51.3
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	50.0	51.3	49.2	46.2	42.7	45.5	49.5	51.9	52.4	51.9	47.1	46.0	48.4
Aigle	381	2560403 / 1130713	01.1991-12.2020	45.8	49.6	52.6	51.9	48.1	54.1	58.4	59.5	57.8	52.0	45.1	42.6	52.4
Altdorf	438	2690180 / 1193563	01.1991-12.2020	36.1	42.4	46.7	51.1	44.6	46.4	47.9	51.6	51.7	45.9	36.2	30.5	45.9
Arosa	1878	2771030 / 1184830	01.1991-12.2020	53.6	49.3	46.9	43.3	39.1	42.8	48.5	49.6	49.3	50.4	45.4	46.4	46.6
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	28.1	33.8	40.4	45.2	44.0	48.2	53.9	55.2	47.5	36.5	27.6	26.6	42.8
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	25.7	35.2	44.0	47.2	45.2	50.4	55.1	56.1	50.5	38.4	25.6	21.6	43.4
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	19.0	30.2	39.7	45.2	42.9	47.6	51.5	51.3	43.8	29.1	19.3	15.3	39.3
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	35.6	38.0	42.8	42.2	42.2	46.7	51.3	51.1	45.0	37.9	33.5	34.2	42.8
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	35.8	36.4	38.0	38.6	35.8	39.1	43.4	43.8	40.3	39.4	34.0	33.0	38.6
Chur	557	2759488 / 1193181	01.1991-12.2020	49.3	52.6	53.5	52.9	49.2	52.4	57.1	59.0	57.8	53.8	45.9	44.6	52.9
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	61.2	61.2	58.5	48.3	45.8	52.5	58.2	57.0	51.1	49.4	49.9	57.3	53.8
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	47.8	49.4	49.9	41.7	39.7	48.0	52.9	53.1	49.9	47.3	42.4	40.8	47.5
Davos	1594	2783519 / 1187458	01.1991-12.2020	54.6	53.9	51.4	48.6	45.3	48.9	53.8	54.8	53.2	54.7	49.7	48.8	51.4
Disentis	1197	2708190 / 1173793	01.1991-12.2020	48.8	48.2	46.7	42.6	39.3	44.8	50.7	52.3	50.4	48.9	41.8	43.6	46.6
Engelberg	1036	2674161 / 1186069	01.1991-12.2020	46.3	46.6	46.3	46.6	42.0	42.1	44.9	47.5	46.1	47.2	44.0	42.1	45.2
Evolène / Villa	1825	2605411 / 1106748	01.1991-12.2020	58.5	58.5	57.2	51.8	47.7	49.6	55.1	57.3	59.3	60.0	54.4	53.9	54.7
Fahy	596	2562464 / 1252675	01.1991-12.2020	25.1	32.2	39.3	43.6	41.9	47.4	51.8	53.1	46.1	37.1	26.1	22.5	40.8
Genève / Cointrin	411	2498904 / 1122631	01.1991-12.2020	25.3	38.3	49.7	50.9	49.8	57.0	61.9	61.5	55.9	40.3	27.1	21.1	47.7
