Federal Department of Home Affairs FDHA
Federal Office of Meteorology and Climatology
MeteoSwiss

Creation date: 25.01.2024 / As at: cf. creation date

Monthly values Frost days (minimum lower than 0 degrees C) / number / Normals 1991-2020

Station	Altitude [m asl]	CH coordinates	Reference period	Jan	Feb	Mar	Apr	May	Jun	Jul	Aug	Sep	Oct	Nov	Dec	Year
Aadorf / Tänikon	539	2710518 / 1259824	01.1991-12.2020	21.8	20.4	15.8	6.3	0.4	0.0	0.0	0.0	0.1	2.2	11.1	20.4	98.5
Acquarossa / Comprovasco	575	2714985 / 1146450	01.1991-12.2020	20.2	15.8	6.9	1.1	0.0	0.0	0.0	0.0	0.0	0.5	5.8	15.9	66.2
Adelboden	1321	2609371 / 1148939	01.1991-12.2020	26.9	24.0	20.1	13.0	3.1	0.3	0.0	0.0	0.6	6.2	16.2	24.4	134.8
Aigle	381	2560403 / 1130713	01.1991-12.2020	21.0	17.7	10.4	2.7	0.1	0.0	0.0	0.0	0.0	1.6	9.8	18.6	81.9
Altdorf	438	2690180 / 1193563	01.1991-12.2020	22.4	19.6	11.8	3.4	0.1	0.0	0.0	0.0	0.0	1.1	9.2	20.4	88.0
Andermatt	1435	2687444 / 1165043	01.1991-12.2020	30.6	28.0	29.3	21.7	8.9	1.8	0.2	0.5	5.9	16.2	24.9	29.6	197.6
Arosa	1878	2771030 / 1184830	01.1991-12.2020	29.4	26.7	27.1	18.8	7.8	1.8	0.5	0.3	4.1	10.4	20.5	28.2	175.6
Bad Ragaz	497	2756911 / 1209350	01.1991-12.2020	20.3	16.3	9.0	2.5	0.0	0.0	0.0	0.0	0.0	1.4	8.7	18.5	76.7
Basel / Binningen	316	2610908 / 1265611	01.1991-12.2020	16.1	13.3	7.6	1.7	0.0	0.0	0.0	0.0	0.0	0.7	5.7	14.7	59.8
Bern / Zollikofen	553	2601934 / 1204409	01.1991-12.2020	23.8	21.3	14.1	4.8	0.2	0.0	0.0	0.0	0.0	2.1	11.3	21.6	99.2
Blatten, Lötschental	1538	2629563 / 1141083	01.1991-12.2020	30.3	27.8	27.8	18.9	5.9	1.5	0.3	0.3	3.7	12.4	23.2	29.9	182.0
Buchs / Aarau	387	2648396 / 1248369	01.1991-12.2020	19.5	18.5	11.3	2.9	0.1	0.0	0.0	0.0	0.0	1.4	7.7	16.8	78.2
Buffalora	1971	2816494 / 1170254	01.1991-12.2020	31.0	28.2	30.6	28.1	19.4	7.7	3.6	3.2	13.6	24.8	28.4	30.8	249.4
Bullet / La Frétaz	1205	2534225 / 1188081	01.1991-12.2020	24.8	22.0	18.1	10.2	1.7	0.1	0.0	0.0	0.2	4.4	14.0	21.9	117.4
Chasseral	1594	2570845 / 1220157	01.1991-12.2020	27.0	24.2	22.7	15.8	6.0	0.7	0.0	0.0	1.5	7.8	17.9	23.8	147.4
Chaumont	1136	2565060 / 1211006	01.1991-12.2020	23.9	21.6	15.9	7.7	1.0	0.0	0.0	0.0	0.1	3.2	13.4	21.8	108.6
Chur	557	2759488 / 1193181	01.1991-12.2020	19.9	15.9	8.1	1.7	0.0	0.0	0.0	0.0	0.0	1.1	8.1	17.8	72.6
Château-d'Oex	1028	2577040 / 1147654	01.1991-12.2020	27.5	25.6	22.2	11.4	2.0	0.2	0.0	0.1	0.5	4.6	17.4	26.1	137.6
Cimetta	1661	2704433 / 1117457	01.1991-12.2020	26.2	23.4	19.8	11.9	1.9	0.1	0.0	0.0	0.2	4.5	14.0	23.5	125.5
Col du Grand St-Bernard	2472	2579191 / 1079754	01.1991-12.2020	30.9	28.0	30.8	27.9	18.5	7.3	2.6	2.3	8.7	17.6	27.6	30.8	233.0
Davos	1594	2783519 / 1187458	01.1991-12.2020	30.8	28.2	29.1	21.3	6.1	0.9	0.1	0.1	3.2	12.1	24.5	30.3	186.7
Delémont	439	2593269 / 1244543	01.1991-12.2020	20.6	19.1	15.1	5.7	0.3	0.0	0.0	0.0	0.1	2.2	10.7	18.9	92.7
Disentis	1197	2708190 / 1173793	01.1991-12.2020	26.2	23.2	18.5	9.7	1.2	0.2	0.0	0.0	0.3	4.3	14.7	23.3	121.6
